County,Slug,partof
Barking and Dagenham,barking-and-dagenham,London
Barnet,barnet,London
Bexley,bexley,London
Brent,brent,London
Bromley,bromley,London
Camden,camden,London
Croydon,croydon,London
Ealing,ealing,London
Enfield,enfield,London
Greenwich,greenwich,London
Hackney,hackney,London
Hammersmith and Fulham,hammersmith-and-fulham,London
Haringey,haringey,London
Harrow,harrow,London
Havering,havering,London
Hillingdon,hillingdon,London
Hounslow,hounslow,London
Islington,islington,London
Kensington and Chelsea,kensington-and-chelsea,London
Kingston upon Thames,kingston-upon-thames,London
Lambeth,lambeth,London
Lewisham,lewisham,London
Merton,merton,London
Newham,newham,London
Redbridge,redbridge,London
Richmond upon Thames,richmond-upon-thames,London
Southwark,southwark,London
Sutton,sutton,London
Tower Hamlets,tower-hamlets,London
Waltham Forest,waltham-forest,London
Wandsworth,wandsworth,London
Westminster,westminster,London
Northern Ireland,northern-ireland,Northern Ireland
Scotland,scotland,Scotland
Wales,wales,Wales
Bath and North East Somerset,bath-and-north-east-somerset,England
Bedford,bedford,England
Berkshire,berkshire,England
Blackburn with Darwen,blackburn-with-darwen,England
Blackpool,blackpool,England
Bournemouth,bournemouth,England
Brighton and Hove,brighton-and-hove,England
Bristol,bristol,England
Buckinghamshire,buckinghamshire,England
Cambridgeshire,cambridgeshire,England
Central Bedfordshire,central-bedfordshire,England
Ceredigion,ceredigion,England
Cheshire East,cheshire-east,England
Cheshire West and Chester,cheshire-west-and-chester,England
City of London,city-of-london,England
Clackmannanshire,clackmannanshire,England
Cornwall,cornwall,England
County Durham,county-durham,England
Cumbria,cumbria,England
Denbighshire,denbighshire,England
Derby,derby,England
Derbyshire,derbyshire,England
Devon,devon,England
Dorset,dorset,England
East Riding of Yorkshire,east-riding-of-yorkshire,England
East Sussex,east-sussex,England
Essex,essex,England
Gloucestershire,gloucestershire,England
Greater London,greater-london,England
Greater Manchester,greater-manchester,England
Halton,halton,England
Hampshire,hampshire,England
Hartlepool,hartlepool,England
Herefordshire,herefordshire,England
Hertfordshire,hertfordshire,England
Isle of Wight,isle-of-wight,England
Isles of Scilly,isles-of-scilly,England
Kent,kent,England
Kingston upon Hull,kingston-upon-hull,England
Lancashire,lancashire,England
Leicester,leicester,England
Leicestershire,leicestershire,England
Lincolnshire,lincolnshire,England
Luton,luton,England
Medway,medway,England
Merseyside,merseyside,England
Middlesbrough,middlesbrough,England
Milton Keynes,milton-keynes,England
Norfolk,norfolk,England
North East Lincolnshire,north-east-lincolnshire,England
North Lincolnshire,north-lincolnshire,England
North Somerset,north-somerset,England
North Yorkshire,north-yorkshire,England
Northamptonshire,northamptonshire,England
Northumberland,northumberland,England
Nottingham,nottingham,England
Nottinghamshire,nottinghamshire,England
Oxfordshire,oxfordshire,England
Peterborough,peterborough,England
Plymouth,plymouth,England
Poole,poole,England
Portsmouth,portsmouth,England
Redcar and Cleveland,redcar-and-cleveland,England
Rutland,rutland,England
Shropshire,shropshire,England
Somerset,somerset,England
South Gloucestershire,south-gloucestershire,England
South Yorkshire,south-yorkshire,England
Southampton,southampton,England
Southend-on-Sea,southend-on-sea,England
Staffordshire,staffordshire,England
Stockton-on-Tees,stockton-on-tees,England
Stoke-on-Trent,stoke-on-trent,England
Suffolk,suffolk,England
Surrey,surrey,England
Swindon,swindon,England
Telford and Wrekin,telford-and-wrekin,England
Thurrock,thurrock,England
Torbay,torbay,England
Tyne and Wear,tyne-and-wear,England
Warrington,warrington,England
Warwickshire,warwickshire,England
West Midlands,west-midlands,England
West Sussex,west-sussex,England
West Yorkshire,west-yorkshire,England
Wiltshire,wiltshire,England
Worcestershire,worcestershire,England
York,york,England